;player_id;players_family_name;players_given_name;players_birth_date;players_gender
1;P-00020;Hermus;Randee;14/11/1979;1
3;P-00034;Alfonso;not applicable;26/9/1972;0
4;P-00036;Strik;Pleun;27/5/1944;0
5;P-00042;Milutinović;Miloš;5/2/1933;0
7;P-00052;Ró-Ró;not applicable;6/8/1990;0
8;P-00064;Thomis;Élodie;13/8/1986;1
10;P-00065;Ortega;Ariel;4/3/1974;0
13;P-00077;Assemoassa;Ludovic;18/9/1980;0
14;P-00081;Bull;Steve;28/3/1965;0
15;P-00083;Murillo;Christina;28/1/1993;1
16;P-00086;Rivas;Roberto;17/7/1941;0
17;P-00105;Holland;Matt;11/4/1974;0
18;P-00109;Oliveira;Luís;24/3/1969;0
19;P-00111;Shojaei;Masoud;9/6/1984;0
22;P-00116;Romantsev;Oleg;4/1/1954;0
23;P-00119;Riva;Gigi;7/11/1944;0
25;P-00137;Arias;Nataly;2/4/1986;1
27;P-00146;Ostrowski;Marek;22/11/1959;0
28;P-00148;Abe;Yuki;6/9/1981;0
29;P-00152;Pandolfini;Egisto;19/2/1926;0
31;P-00153;Baljić;Mirsad;4/3/1962;0
32;P-00189;Gallacher;Kevin;23/11/1966;0
33;P-00212;Sørensen;Thomas;12/6/1976;0
35;P-00232;Rochet;Sergio;23/3/1993;0
36;P-00234;Musabah;Muhsin;1/10/1964;0
37;P-00244;Frei;Fabian;8/1/1989;0
38;P-00262;Hadžiabdić;Enver;6/11/1945;0
39;P-00266;Ivan;Marian;6/1/1969;0
40;P-00279;Afonsinho;not applicable;8/3/1914;0
41;P-00281;Mock;Hans;9/12/1906;0
42;P-00300;Brabrook;Peter;8/11/1937;0
43;P-00315;Boroumand;Parviz;11/9/1972;0
44;P-00325;Cris;not applicable;12/12/1985;1
45;P-00336;Martens;Lieke;16/12/1992;1
47;P-00339;Rodrigo;not applicable;6/3/1991;0
48;P-00356;Joacim;Constant;3/3/1908;0
49;P-00369;Sáinz;Renato;1899-12-14;0
50;P-00384;Mohamed;Habib;10/12/1983;0
51;P-00386;López;Noelia;29/7/1978;1
52;P-00390;Park;Jae-seung;1/4/1923;0
53;P-00393;Erceg;Abby;20/11/1989;1
57;P-00429;Núñez;Jorge;22/1/1978;0
58;P-00436;Ebimiekumo;Phoebe;17/1/1974;1
60;P-00439;Younger;Tommy;10/4/1930;0
61;P-00445;Arnesen;Frank;30/9/1956;0
62;P-00447;Vassell;Darius;13/6/1980;0
63;P-00452;Allchurch;Len;12/9/1933;0
64;P-00465;Veretout;Jordan;1/3/1993;0
65;P-00471;Rampone;Christie;24/6/1975;1
70;P-00476;Jang;Yong-ok;17/9/1982;1
71;P-00480;Im;Seung-hwi;3/2/1946;0
72;P-00489;Otero;Celso;1/2/1958;0
73;P-00506;Stuber;Georges;11/5/1925;0
75;P-00521;Rui;Mário;27/5/1991;0
76;P-00522;Estrada;Andrés;12/11/1967;0
77;P-00531;Preud'homme;Michel;24/1/1959;0
79;P-00548;Mavrič;Matej;29/1/1979;0
80;P-00549;Lewandowski;Robert;21/8/1988;0
82;P-00556;Rapp;Anita;24/7/1977;1
84;P-00573;Tesse;Manuela;28/2/1976;1
85;P-00577;Orlando;not applicable;20/9/1935;0
87;P-00585;Al-Ghamdi;Omar;11/4/1979;0
89;P-00596;M'Bolhi;Raïs;25/4/1986;0
91;P-00597;Benoun;Badr;30/9/1993;0
92;P-00618;Ortuño;Washington;13/5/1928;0
93;P-00619;Goikoetxea;Andoni;21/10/1965;0
94;P-00640;Jaziri;Ziad;12/7/1978;0
96;P-00643;Fernández;Luis;2/10/1959;0
97;P-00649;Cimirotič;Sebastjan;14/9/1974;0
98;P-00652;Foyth;Juan;12/1/1998;0
99;P-00668;Melki;Mourad;9/5/1975;0
101;P-00683;Al-Yami;Al Hasan;21/8/1972;0
102;P-00685;Abid;Anad;3/8/1955;0
